date,price,usdt_volume,ether_volume
2019-11-01 20:00:00,182.85039307,1701034.06178947,9287.87220356
2019-11-02 20:00:00,181.67026876,1299919.75972024,7153.80549824
2019-11-03 19:00:00,185.72160169,3521327.47281691,19114.38160628
2019-11-04 19:00:00,188.81000186,3273923.0813311,17487.27032547
2019-11-05 19:00:00,191.08496549,3706469.55601441,19468.43683536
2019-11-06 19:00:00,186.7,3490088.27838393,18590.1560699
2019-11-07 19:00:00,183.86614695,3072739.91847555,16625.44776399
2019-11-08 19:00:00,184.88856071,3600281.18238554,19509.98878891
2019-11-09 19:00:00,189.01203551,5315043.5285444,28298.27239703
2019-11-10 19:00:00,185.03076881,4516752.41664498,24184.48084006
2019-11-11 19:00:00,187.13342212,4793112.13747519,25822.07081015
2019-11-12 19:00:00,188.1762493,3205526.89421065,17129.40188007
2019-11-13 19:00:00,184.84310695,3525048.47178787,19000.72218057
2019-11-14 19:00:00,180.07526383,5155742.7180264,28351.55898084
2019-11-15 19:00:00,182.46518592,2500672.14870748,13789.96601081
2019-11-16 19:00:00,183.81069987,2755768.38496022,14986.03467308
2019-11-17 19:00:00,178.41983647,2998514.03762263,16564.95319962
2019-11-18 19:00:00,175.78449165,2738395.21422392,15591.28327926
2019-11-19 19:00:00,174.7124,2327483.38615232,13246.10214814
2019-11-20 19:00:00,161.08379959,4248124.53101497,25616.55639909
2019-11-21 19:00:00,149.58245085,7562695.97830258,49644.05060039
2019-11-22 19:00:00,151.66640729,3554428.3604708,23585.99160758
2019-11-23 19:00:00,140.08598309,4010860.08416174,27228.95425409
2019-11-24 19:00:00,145.6123714,4462011.61729339,31226.22078393
2019-11-25 19:00:00,147.4917999,4991760.2693435,34109.45089868
2019-11-26 19:00:00,152.4898,5106985.22212624,34744.86376935
2019-11-27 19:00:00,150.79529999,1626665.85137455,10699.10402167
2019-11-28 19:00:00,154.45593417,1584187.80447364,10276.98890542
2019-11-29 19:00:00,151.63269987,1089651.54913346,7159.89152349
2019-11-30 19:00:00,150.8086,1467823.12105756,9862.6042248
2019-12-01 19:00:00,148.86999997,1150856.92862639,7729.30251794
2019-12-02 19:00:00,147.25926276,1530428.37964609,10333.22187368
2019-12-03 19:00:00,145.3,2772966.4188334,18893.73050871
2019-12-04 19:00:00,147.95918367,2919442.85947729,19912.84604988
2019-12-05 19:00:00,148.50324221,1828287.0270472,12402.17857013
2019-12-06 19:00:00,147.10562829,1104602.84190987,7462.79039911
2019-12-07 19:00:00,150.44672815,4113843.68486546,27701.35140505
2019-12-08 19:00:00,147.37981034,3320204.69235782,22255.52631185
2019-12-09 19:00:00,145.51020408,2992262.32548237,20461.70353273
2019-12-10 19:00:00,143.33,4199841.64259692,29054.33093282
2019-12-11 19:00:00,144.88000001,4996824.90248429,34887.64792466
2019-12-12 19:00:00,144.82761188,4432936.93810314,30705.84654954
2019-12-13 19:00:00,141.85430295,5121075.77217519,35733.92020399
2019-12-14 19:00:00,142.51869334,9281964.10896801,65308.84413714
2019-12-15 19:00:00,132.75436143,5587030.9341234,40353.59921756
2019-12-16 19:00:00,121.98207286,5759549.23477148,44873.85481409
2019-12-17 19:00:00,132.71473437,6371306.87820212,51142.26922021
2019-12-18 19:00:00,128.13804681,4485405.92430453,35182.21891399
2019-12-19 19:00:00,128.21590216,5192752.96798376,40735.33785751
2019-12-20 19:00:00,127.02774758,4655774.91450917,36593.07643371
2019-12-21 19:00:00,132.02937126,5687185.73616063,43828.24753149
2019-12-22 19:00:00,127.90627238,6215557.14115251,47050.00229563
2019-12-23 19:00:00,127.75573255,5034736.96426058,39331.82576167
2019-12-24 19:00:00,125.14999997,4114901.38606882,32896.61514519
2019-12-25 19:00:00,125.71949989,5758929.20576901,45514.74892801
2019-12-26 19:00:00,126.28820644,4470601.29741671,35646.61838424
2019-12-27 19:00:00,128.09981876,4611965.6913683,36051.98111978
2019-12-28 19:00:00,134.41223478,5299664.41538577,40455.11582218
2019-12-29 19:00:00,131.62077057,4638679.77278904,34890.66410225
2019-12-30 19:00:00,129.14109689,4730335.19012252,36180.29751192
2019-12-31 19:00:00,130.66821479,4585569.18721032,34928.59173478
2020-01-01 19:00:00,127.20999996,5045582.24085538,39310.02360279
2020-01-02 19:00:00,134.54884259,8995059.64506947,68884.95272851
2020-01-03 19:00:00,134.17439463,5820436.04258346,43542.89663849
2020-01-04 19:00:00,135.42287283,7868584.21887369,57796.70223354
2020-01-05 19:00:00,144.17792225,10185920.75158949,72746.49061904
2020-01-06 19:00:00,142.86972564,7983261.6989863,55999.17400134
2020-01-07 19:00:00,140.59861832,7256829.41584917,50929.64477325
2020-01-08 19:00:00,137.82794923,7094465.35183731,51230.01794071
2020-01-09 19:00:00,144.87190633,7434862.52735993,53101.05131026
2020-01-10 19:00:00,142.53904196,5460286.82109719,37841.83057841
2020-01-11 19:00:00,146.53940234,5180111.46549035,36008.97043084
2020-01-12 19:00:00,143.54603422,5065059.68457089,35131.92998623
2020-01-13 19:00:00,165.80513919,14731893.4817997,95889.34938036
2020-01-14 19:00:00,166.3076731,10842863.53553081,65802.95358879
2020-01-15 19:00:00,164.09186818,11312750.50284136,69694.77230814
2020-01-16 19:00:00,169.92502874,16811854.99604301,99389.75279202
2020-01-17 19:00:00,174.10771605,13121613.74846108,76089.79180663
2020-01-18 19:00:00,166.81222585,13500382.86830031,79530.19589393
2020-01-19 19:00:00,166.85806609,9906701.34138155,59805.07748793
2020-01-20 19:00:00,169.47727249,9355304.02948353,55815.49144218
2020-01-21 19:00:00,168.06896188,9557101.34380419,56770.88807291
